,response,distributions,probable_topic,topic_probability
21,"['logan', 'first', 'canvas', 'conference', 'helm', 'TWITTER_HANDLE', 'excite', 'teacher', 'classmate', 'digitallearning', 'makingconnections', 'proud', 'TWITTER_HANDLE', 'wildcat']","[(0, 0.38118038), (1, 0.100600936), (2, 0.28699115), (3, 0.1460292), (4, 0.08519832)]",,
22,"['rock', 'digitallearning', 'scene', 'challenge', 'thanks', 'TWITTER_HANDLE', 'canvas', 'keeping', 'TWITTER_HANDLE', 'student', 'active', 'commit', 'engage', 'teacher', 'working', 'although', 'remotely', 'keeplearningdld']","[(0, 0.48377872), (1, 0.1698698), (2, 0.15657228), (3, 0.12185839), (4, 0.06792083)]",,
23,"['reminder', 'digital', 'learning', 'assignment', 'friday', 'check', 'teacher', 'continue', 'drill', 'canvas']","[(0, 0.4994801), (1, 0.026157673), (2, 0.3367042), (3, 0.085230045), (4, 0.052427974)]",,
24,"['connect', 'teacher', 'supporting', 'canvas', 'bump', 'everyone', 'willing', 'teachersareheroes', 'digitallearning', 'tire', 'TWITTER_HANDLE']","[(0, 0.2720239), (1, 0.29872698), (2, 0.22125053), (3, 0.113319464), (4, 0.09467912)]",,
25,"['teaching', 'look', 'atleast', 'ncpublicschools', 'teacherstrong', 'digitallearning', 'different', 'impossible', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'keepingstudentsmindsengaged', 'engage', 'learning', 'digitaltool', 'canvas', 'TWITTER_HANDLE', 'interiordesign']","[(0, 0.15210404), (1, 0.41950482), (2, 0.15809269), (3, 0.20371477), (4, 0.06658367)]",,
26,"['check', 'canvas', 'email', 'update', 'testing', 'possible', 'digital', 'learning', 'update', 'meantime', 'continue', 'college', 'board', 'unite', 'review', 'material']","[(0, 0.45109922), (1, 0.028662235), (2, 0.36939988), (3, 0.09339074), (4, 0.057447936)]",,
27,"['early', 'college', 'class', 'currently', 'available', 'student', 'canvas', 'please', 'student', 'access', 'course', 'promote', 'continuity', 'learning', 'digital', 'learning', 'officially', 'begin', 'across', 'guilford', 'county', 'school', 'monday', 'march']","[(0, 0.53485656), (1, 0.08995842), (2, 0.26611802), (3, 0.06752807), (4, 0.041538898)]",,
28,"['canvas', 'course', 'template', 'together', 'digital', 'learning', 'TWITTER_HANDLE', 'lifesaver', 'specialist', 'extra', 'stay', 'add', 'course', 'designer', 'assist', 'fluent', 'teacher', 'course', 'creation', 'covid19ed']","[(0, 0.4593317), (1, 0.024055947), (2, 0.30965137), (3, 0.15874481), (4, 0.04821615)]",,
29,"['uncle', 'currently', 'piss', 'getting', 'email', 'student', 'submit', 'stuff', 'canvas', 'digital', 'learning', 'administration', 'teacher']","[(0, 0.4994805), (1, 0.02615766), (2, 0.33670393), (3, 0.085229985), (4, 0.052427918)]",,
30,"['creative', 'color', 'wheel', 'digital', 'learning', 'elementary', 'student', 'paulding', 'meeting', 'expectation', 'things', 'sharing', 'teacher', 'canvas', 'pauldingdld2020', 'pauldingfinearts']","[(0, 0.4994805), (1, 0.02615766), (2, 0.33670393), (3, 0.085229985), (4, 0.052427918)]",,
31,"['powerschool', 'and/or', 'canvas', 'right', '100,000', 'teacher', 'million', 'student', 'try', 'digitallearning', 'virtualteaching', 'socialdistancing', 'coronavirus', 'covid19', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.3825784), (1, 0.07732534), (2, 0.15116726), (3, 0.2762992), (4, 0.11262983)]",,
32,"['digital', 'learning', 'TWITTER_HANDLE', 'thanks', 'helping', 'morning', 'video', 'canvas', 'works', 'kiddo', 'today', 'readtoyourteacher', 'getconnected', 'TWITTER_HANDLE']","[(0, 0.42516634), (1, 0.022266533), (2, 0.28661734), (3, 0.22132042), (4, 0.044629347)]",,
33,"['digital', 'learning', 'today', 'march', 'social', 'study', 'complication', 'canvas', 'please', 'email', 'teacher']","[(0, 0.4994787), (1, 0.026157685), (2, 0.3367055), (3, 0.0852301), (4, 0.052428022)]",,
34,"['morning', 'sparta', 'welcome', 'digital', 'learning', 'teacher', 'communicate', 'lesson', 'canvas', 'remind', 'school', 'accord', 'normal', 'schedule', 'period', 'today', 'period', 'spartan']","[(0, 0.4116799), (1, 0.11354083), (2, 0.33712107), (3, 0.085230134), (4, 0.052428048)]",,
35,"['teacher', 'friend', 'administrator', 'friend', 'canvas', 'skype', 'please', 'capable', 'supporting', 'please', 'share', 'message', 'together', 'together', 'covid19', 'digitallearning', 'togetherisbetter']","[(0, 0.54757005), (1, 0.086024985), (2, 0.2501184), (3, 0.041781943), (4, 0.074504614)]",,
36,"['early', 'college', 'class', 'currently', 'available', 'student', 'canvas', 'please', 'student', 'access', 'course', 'promote', 'continuity', 'learning', 'digital', 'learning', 'officially', 'begin', 'across', 'guilford', 'county', 'school', 'monday', 'march']","[(0, 0.5348567), (1, 0.08995842), (2, 0.26611793), (3, 0.06752807), (4, 0.041538898)]",,
37,"['teamwork', 'collaboration', 'evident', 'teacher', 'share', 'tool', 'canvas', 'conversation', 'student', 'intentionally', 'design', 'instruction', 'upcoming', 'digital', 'learning', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.3643772), (1, 0.07044495), (2, 0.20866166), (3, 0.32398528), (4, 0.032530885)]",,
38,"['student', 'book', 'digital', 'learning', 'teacher', 'create', 'amaze', 'experience', 'canvas', 'book', '🏻#proudtobeahusky', 'learningcontinues', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.34760553), (1, 0.018204158), (2, 0.23432541), (3, 0.36337823), (4, 0.036486685)]",,
39,"['blackboard', 'canvas', 'higher', 'education', 'online', 'digital', 'learning', 'platform', 'right', 'covid19', 'TWITTER_HANDLE']","[(0, 0.27569333), (1, 0.022266453), (2, 0.2873277), (3, 0.14693469), (4, 0.2677778)]",,
40,"['course', 'transition', 'person', 'setting', 'remote', 'delivery', 'moment', 'prepare', 'check', 'canvas', 'message', 'instructions', 'professor(s', 'follow', 'canvas', 'navigate', 'resource']","[(0, 0.41267067), (1, 0.026157971), (2, 0.4235106), (3, 0.08523148), (4, 0.052429266)]",,
41,"['course', 'transition', 'person', 'setting', 'remote', 'delivery', 'moment', 'prepare', 'check', 'canvas', 'message', 'instructions', 'professor(s', 'follow', 'canvas', 'navigate', 'resource']","[(0, 0.41267067), (1, 0.02615797), (2, 0.42351058), (3, 0.085231476), (4, 0.052429263)]",,
42,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'professor', 'convert', 'remote', 'instruction', 'online', 'course', 'take', 'month', 'development', 'using', 'microsoft', 'team', 'canvas', 'conference', 'regularly', 'schedule', 'class', 'times', 'asynchronous', 'course', 'delivery']","[(0, 0.26516658), (1, 0.09665003), (2, 0.2978062), (3, 0.22135532), (4, 0.11902189)]",,
43,"['equity', 'mind', 'online', 'teaching', 'technique', 'canvas', 'webinar', 'jenniferortiz', 'absolutely', 'fantastic', '🏿@calcommcolleges', 'TWITTER_HANDLE', 'cccracialequity', 'cueracialequity', 'equityol', 'ccclearn']","[(0, 0.14820047), (1, 0.026158132), (2, 0.39585033), (3, 0.17261845), (4, 0.25717258)]",,
44,"['happening', 'equity', 'mind', 'online', 'teaching', 'using', 'canvas', 'model', 'bring', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.20079976), (1, 0.024055686), (2, 0.32706496), (3, 0.23914607), (4, 0.20893353)]",,
