,0,1
0,0,"0.422*""teacher"" + 0.163*""student"" + 0.089*""learning"" + 0.067*""online"" + 0.033*""support"" + 0.027*""college"" + 0.018*""platform"" + 0.017*""learn"" + 0.016*""continue"" + 0.015*""still"" + 0.013*""really"" + 0.012*""teach"" + 0.012*""technology"" + 0.010*""digital"" + 0.009*""need"" + 0.006*""content"" + 0.006*""sessions"" + 0.005*""everything"" + 0.005*""session"" + 0.005*""feature"" + 0.004*""middle"" + 0.004*""microsoftteams"" + 0.004*""webinar"" + 0.004*""internet"" + 0.004*""skill"" + 0.003*""career"" + 0.002*""offering"" + 0.002*""space"" + 0.002*""work"" + 0.002*""educational"" + 0.002*""department"" + 0.002*""lockdown"" + 0.002*""digitallearning"" + 0.002*""various"" + 0.001*""organise"" + 0.001*""expert"" + 0.001*""basic"" + 0.001*""attempt"" + 0.001*""launch"" + 0.001*""officially"" + 0.001*""innovative"" + 0.001*""initiative"" + 0.000*""launching"" + 0.000*""engineering"" + 0.000*""scienceteacher"" + 0.000*""seven"" + 0.000*""broadcast"" + 0.000*""togetherinheart"" + 0.000*""natgeo"" + 0.000*""rope"""
1,1,"0.423*""today"" + 0.176*""family"" + 0.103*""awesome"" + 0.063*""special"" + 0.059*""grader"" + 0.030*""bring"" + 0.025*""research"" + 0.023*""host"" + 0.018*""track"" + 0.017*""teacherstrong"" + 0.017*""sound"" + 0.016*""listening"" + 0.013*""sweet"" + 0.008*""end"" + 0.002*""handling"" + 0.002*""freeze"" + 0.001*""civil"" + 0.000*""astronomy"" + 0.000*""probe"" + 0.000*""showman"" + 0.000*""soundtrack"" + 0.000*""rope"" + 0.000*""digitalmentalhealth"" + 0.000*""sonacollegeoftechnology"" + 0.000*""oraganising"" + 0.000*""seven"" + 0.000*""spaceprobes"" + 0.000*""work"" + 0.000*""️#mesrocks"" + 0.000*""classroom"" + 0.000*""google"" + 0.000*""officially"" + 0.000*""heart"" + 0.000*""natgeo"" + 0.000*""sessions"" + 0.000*""teacher"" + 0.000*""session"" + 0.000*""organise"" + 0.000*""teachermom"" + 0.000*""webinar"" + 0.000*""universe"" + 0.000*""smile"" + 0.000*""innovative"" + 0.000*""content"" + 0.000*""basic"" + 0.000*""middle"" + 0.000*""attempt"" + 0.000*""need"" + 0.000*""student"" + 0.000*""miss"""
2,2,"0.133*""education"" + 0.130*""remotelearning"" + 0.092*""edtech"" + 0.074*""answer"" + 0.068*""comment"" + 0.063*""science"" + 0.060*""super"" + 0.059*""seeing"" + 0.046*""miss"" + 0.027*""higher"" + 0.024*""interactive"" + 0.020*""remoteteaching"" + 0.018*""smile"" + 0.018*""adapt"" + 0.016*""knowledge"" + 0.016*""workshop"" + 0.016*""face"" + 0.015*""creativity"" + 0.014*""correct"" + 0.013*""development"" + 0.012*""homeschool"" + 0.009*""solve"" + 0.009*""innovation"" + 0.009*""literacy"" + 0.007*""kudos"" + 0.006*""dream"" + 0.004*""greatest"" + 0.004*""digitallearning"" + 0.003*""leverage"" + 0.003*""teachermom"" + 0.002*""discovery"" + 0.001*""nigeria"" + 0.001*""appleteacher"" + 0.000*""effects"" + 0.000*""4:30pm"" + 0.000*""designthinking"" + 0.000*""digitalliteracy"" + 0.000*""digitaleducation"" + 0.000*""spaceprobes"" + 0.000*""modeling"" + 0.000*""beatingcovid19"" + 0.000*""careergoals"" + 0.000*""teacherdevelopment"" + 0.000*""dtk12"" + 0.000*""scienceteacher"" + 0.000*""studyathome"" + 0.000*""studyenglish"" + 0.000*""studyscience"" + 0.000*""digitalstudent"" + 0.000*""learningandsolution"""
3,3,"0.473*""google"" + 0.465*""classroom"" + 0.014*""think"" + 0.011*""challenge"" + 0.009*""hours"" + 0.007*""add"" + 0.005*""whole"" + 0.005*""heart"" + 0.003*""easily"" + 0.002*""guess"" + 0.002*""crazy"" + 0.001*""depend"" + 0.001*""stage"" + 0.001*""movie"" + 0.000*""universe"" + 0.000*""emoji"" + 0.000*""modeling"" + 0.000*""disney"" + 0.000*""teacher"" + 0.000*""middle"" + 0.000*""basic"" + 0.000*""attempt"" + 0.000*""technology"" + 0.000*""everything"" + 0.000*""need"" + 0.000*""comment"" + 0.000*""organise"" + 0.000*""seven"" + 0.000*""platform"" + 0.000*""continue"" + 0.000*""student"" + 0.000*""really"" + 0.000*""internet"" + 0.000*""work"" + 0.000*""educational"" + 0.000*""officially"" + 0.000*""still"" + 0.000*""teach"" + 0.000*""microsoftteams"" + 0.000*""learning"" + 0.000*""launching"" + 0.000*""support"" + 0.000*""freeze"" + 0.000*""content"" + 0.000*""feature"" + 0.000*""teacherstrong"" + 0.000*""learn"" + 0.000*""various"" + 0.000*""grader"" + 0.000*""career"""
