,0,1
0,0,"0.475*""teacher"" + 0.346*""google"" + 0.055*""learning"" + 0.031*""teaching"" + 0.022*""think"" + 0.018*""edtech"" + 0.015*""teach"" + 0.013*""digital"" + 0.012*""technology"" + 0.012*""edchat"" + 0.000*""microsoftteams"" + 0.000*""track"" + 0.000*""teacherstrong"" + 0.000*""costume"" + 0.000*""scienceteacher"" + 0.000*""science"" + 0.000*""personalize"" + 0.000*""discovery"" + 0.000*""educación"" + 0.000*""elearning"" + 0.000*""lockdown"" + 0.000*""assistance"" + 0.000*""digitallearning"" + 0.000*""college"" + 0.000*""feature"" + 0.000*""handling"" + 0.000*""education"" + 0.000*""student"" + 0.000*""civil"" + 0.000*""need"" + 0.000*""seven"" + 0.000*""organise"" + 0.000*""awesome"" + 0.000*""engineering"" + 0.000*""reporting"" + 0.000*""special"" + 0.000*""work"" + 0.000*""change"" + 0.000*""provide"" + 0.000*""super"" + 0.000*""grader"" + 0.000*""garcia"" + 0.000*""space"" + 0.000*""end"" + 0.000*""universe"" + 0.000*""greatest"" + 0.000*""research"" + 0.000*""department"" + 0.000*""freeze"" + 0.000*""astronomy"""
1,1,"0.570*""student"" + 0.217*""science"" + 0.055*""change"" + 0.038*""microsoftteams"" + 0.034*""feature"" + 0.019*""space"" + 0.017*""special"" + 0.014*""super"" + 0.013*""work"" + 0.005*""digitallearning"" + 0.004*""effects"" + 0.004*""reporting"" + 0.004*""costume"" + 0.002*""scienceteacher"" + 0.001*""discovery"" + 0.001*""broadcast"" + 0.001*""universe"" + 0.000*""astronomy"" + 0.000*""teacherstrong"" + 0.000*""probe"" + 0.000*""togetherinheart"" + 0.000*""track"" + 0.000*""google"" + 0.000*""natgeo"" + 0.000*""⁦@shmslouisville⁩"" + 0.000*""edchat"" + 0.000*""handling"" + 0.000*""elearning"" + 0.000*""educación"" + 0.000*""personalize"" + 0.000*""edtech"" + 0.000*""college"" + 0.000*""lockdown"" + 0.000*""civil"" + 0.000*""assistance"" + 0.000*""teacher"" + 0.000*""awesome"" + 0.000*""technology"" + 0.000*""engineering"" + 0.000*""education"" + 0.000*""organise"" + 0.000*""seven"" + 0.000*""think"" + 0.000*""provide"" + 0.000*""digital"" + 0.000*""need"" + 0.000*""grader"" + 0.000*""learning"" + 0.000*""teaching"" + 0.000*""teach"""
2,2,"0.725*""college"" + 0.152*""education"" + 0.045*""need"" + 0.043*""research"" + 0.016*""elearning"" + 0.008*""assistance"" + 0.005*""personalize"" + 0.004*""educación"" + 0.000*""garcia"" + 0.000*""mlearning"" + 0.000*""eteacher"" + 0.000*""amandi"" + 0.000*""schiaffino"" + 0.000*""analia"" + 0.000*""ilvia"" + 0.000*""microsoftteams"" + 0.000*""science"" + 0.000*""scienceteacher"" + 0.000*""costume"" + 0.000*""teacherstrong"" + 0.000*""track"" + 0.000*""edchat"" + 0.000*""google"" + 0.000*""digitallearning"" + 0.000*""edtech"" + 0.000*""discovery"" + 0.000*""engineering"" + 0.000*""lockdown"" + 0.000*""technology"" + 0.000*""feature"" + 0.000*""department"" + 0.000*""organise"" + 0.000*""teacher"" + 0.000*""universe"" + 0.000*""student"" + 0.000*""handling"" + 0.000*""astronomy"" + 0.000*""digital"" + 0.000*""special"" + 0.000*""super"" + 0.000*""reporting"" + 0.000*""work"" + 0.000*""civil"" + 0.000*""change"" + 0.000*""think"" + 0.000*""effects"" + 0.000*""awesome"" + 0.000*""grader"" + 0.000*""seven"" + 0.000*""greatest"""
3,3,"0.402*""track"" + 0.120*""lockdown"" + 0.091*""provide"" + 0.084*""webinar"" + 0.052*""host"" + 0.041*""sessions"" + 0.029*""department"" + 0.025*""awesome"" + 0.024*""expert"" + 0.023*""sound"" + 0.018*""grader"" + 0.016*""engineering"" + 0.016*""listening"" + 0.015*""end"" + 0.012*""organise"" + 0.006*""civil"" + 0.005*""various"" + 0.005*""freeze"" + 0.004*""handling"" + 0.004*""seven"" + 0.002*""kudos"" + 0.002*""greatest"" + 0.001*""talented"" + 0.001*""stayhomestaysafe"" + 0.000*""soundtrack"" + 0.000*""paruluniversity"" + 0.000*""costume"" + 0.000*""microsoftteams"" + 0.000*""google"" + 0.000*""teacherstrong"" + 0.000*""scienceteacher"" + 0.000*""teacher"" + 0.000*""discovery"" + 0.000*""effects"" + 0.000*""technology"" + 0.000*""edchat"" + 0.000*""science"" + 0.000*""assistance"" + 0.000*""feature"" + 0.000*""edtech"" + 0.000*""educación"" + 0.000*""digitallearning"" + 0.000*""education"" + 0.000*""college"" + 0.000*""super"" + 0.000*""student"" + 0.000*""personalize"" + 0.000*""special"" + 0.000*""need"" + 0.000*""space"""
