,response,distributions,probable_topic,topic_probability
0,"['operation', 'teacher', 'relief', 'storehouse', 'digital', 'learning', 'crisis', 'natural', 'disaster', 'schoolrubric', 'coronavirus', 'digitallearning', 'instructionalvideos', 'learning', 'operationteacherrelief', 'teaching']","[(0, 0.14415072), (1, 0.2594886), (2, 0.5777584), (3, 0.018602336)]",,
1,"['proudteachermoment', 'discuss', 'sociological', 'approach', 'literary', 'criticism', 'student', 'connect', 'social', 'exclusion', 'jonas', 'giver', 'current', 'situation', 'socially', 'exclude', 'people', 'social', 'group', 'exact', 'terms', 'digitallearning']","[(0, 0.16839771), (1, 0.018819587), (2, 0.06274166), (3, 0.750041)]",,
2,"['beluga', 'research', 'student', 'search', 'answer', 'threaten', 'world', 'population', 'exhibition', 'project', 'togetherinheart', 'beluga', 'ocean', 'saveouroceans', 'natgeo', 'scienceteacher', 'digitallearning']","[(0, 0.7193635), (1, 0.13957433), (2, 0.011958774), (3, 0.12910336)]",,
3,"['grader', 'everyday', 'lookin', 'terrible', 'socialstudiesteacher', 'socialstudies', 'ushistoryteacher', 'ushistory', 'digitallearning']","[(0, 0.14722668), (1, 0.14242135), (2, 0.5933122), (3, 0.117039785)]",,
4,"['operation', 'teacher', 'relief', 'storehouse', 'digital', 'learning', 'crisis', 'natural', 'disaster', 'schoolrubric', 'coronavirus', 'digitallearning', 'instructionalvideos', 'learning', 'operationteacherrelief', 'teaching']","[(0, 0.14415061), (1, 0.259489), (2, 0.57775813), (3, 0.018602338)]",,
5,"['take', 'group', 'bringing', 'total', 'spend', 'start', 'laugh', 'planning', 'confuse', 'state', 'words', 'meaning', 'digitallearning', 'teacherlife']","[(0, 0.28816387), (1, 0.48529413), (2, 0.2056713), (3, 0.02087073)]",,
6,"['worldwide', 'university', 'nairobi', 'global', 'learning', 'council', 'digitallearning', 'times', 'crisis']","[(0, 0.141082), (1, 0.72182745), (2, 0.020192072), (3, 0.116898514)]",,
7,"['worldwide', 'university', 'nairobi', 'global', 'learning', 'council', 'digitallearning', 'times', 'crisis']","[(0, 0.14108185), (1, 0.72182757), (2, 0.020192072), (3, 0.11689851)]",,
8,"['operation', 'teacher', 'relief', 'storehouse', 'digital', 'learning', 'crisis', 'natural', 'disaster', 'schoolrubric', 'coronavirus', 'digitallearning', 'instructionalvideos', 'learning', 'operationteacherrelief', 'teaching']","[(0, 0.14415164), (1, 0.25948775), (2, 0.5777583), (3, 0.018602338)]",,
9,"['never', 'laptop', 'moment', 'digitallearning', 'onlinevivas', 'paruluniversity', 'workfromhome', 'noonecanstopusfromlearning']","[(0, 0.2621719), (1, 0.5791367), (2, 0.12584373), (3, 0.0328476)]",,
10,"['super', 'power', 'disruptive', 'learning', 'communications', 'digitallearning', 'gamification', 'gaming', 'onlinelearning', 'communication', 'edtech', 'university', 'digitaltransformation', 'emergingtechnologies', 'education', 'disruption']","[(0, 0.32620287), (1, 0.56909406), (2, 0.042297788), (3, 0.062405307)]",,
11,"['first', 'event', 'monday', 'april', 'moderate', 'topic', 'digitallearning', 'times', 'crisis', 'details', 'registration']","[(0, 0.3531342), (1, 0.3607382), (2, 0.042420004), (3, 0.24370761)]",,
12,"['operation', 'teacher', 'relief', 'storehouse', 'digital', 'learning', 'crisis', 'natural', 'disaster', 'schoolrubric', 'coronavirus', 'digitallearning', 'instructionalvideos', 'learning', 'operationteacherrelief', 'teaching']","[(0, 0.14414981), (1, 0.25949094), (2, 0.57775694), (3, 0.018602338)]",,
13,"['physical', 'class', 'sessions', 'student', 'listen', 'lecture', 'complete', 'assignment', 'electronically', 'socialize', 'leave', 'early', 'class', 'important', 'distanceeducation', 'onlinelearning', 'digitallearning', 'onlinecourses', 'online', 'college']","[(0, 0.53697646), (1, 0.11305555), (2, 0.052112725), (3, 0.29785526)]",,
14,"['teacher', 'unfamiliar', 'online', 'instruction', 'allow', 'practice', 'using', 'system', 'avoid', 'problem', 'pioneer', 'digital', 'policy', 'brief', 'onlinelearning', 'education', 'covid19', 'digitallearning']","[(0, 0.565743), (1, 0.32952636), (2, 0.042323656), (3, 0.062406927)]",,
15,"['miss', 'digitallearning', 'sessions', 'teacher', 'intro', 'turbine', 'basic', 'stack', 'block', 'basic', 'engineer', 'rover', 'wheel', 'intermediate']","[(0, 0.76750374), (1, 0.10443038), (2, 0.051846053), (3, 0.076219805)]",,
16,"['social', 'distance', 'sleep', 'normal', 'amount', 'hours', 'panic', 'thinking', 'forget', 'digital', 'learning', 'teacherlife', 'digitallearning']","[(0, 0.32841268), (1, 0.59412384), (2, 0.030978179), (3, 0.046485357)]",,
17,"['podcast', 'crisis', 'schooling', 'coronavirus', 'coronavirususa', 'crisis', 'digitallearning', 'education', 'elearning', 'homeschooling', 'onlineclasses', 'onlinelearning', 'parent', 'parent', 'selfcare', 'teacher', 'teaching', 'virus']","[(0, 0.33696586), (1, 0.33727926), (2, 0.28532672), (3, 0.040428154)]",,
