,0,1
0,0,"0.543*""googleclassroom"" + 0.162*""changer"" + 0.138*""edchat"" + 0.081*""remotelearning"" + 0.016*""onlinelearning"" + 0.014*""teacherlife"" + 0.012*""digitallearning"" + 0.011*""host"" + 0.005*""sound"" + 0.004*""end"" + 0.004*""listening"" + 0.003*""onlineclasses"" + 0.001*""freeze"" + 0.001*""learnonline"" + 0.000*""crazy"" + 0.000*""greatest"" + 0.000*""lifesaver"" + 0.000*""paruluniversity"" + 0.000*""track"" + 0.000*""googleedu"" + 0.000*""soundtrack"" + 0.000*""anyone"" + 0.000*""sweet"" + 0.000*""teach"" + 0.000*""digital"" + 0.000*""scienceteacher"" + 0.000*""feature"" + 0.000*""feedback"" + 0.000*""doubt"" + 0.000*""digitalmentalhealth"" + 0.000*""showman"" + 0.000*""smile"" + 0.000*""virtual"" + 0.000*""learn"" + 0.000*""️#mesrocks"" + 0.000*""teacher"" + 0.000*""share"" + 0.000*""awesome"" + 0.000*""lockdown"" + 0.000*""chrome"" + 0.000*""virtuallearning"" + 0.000*""session"" + 0.000*""start"" + 0.000*""microsoftteams"" + 0.000*""student"" + 0.000*""face"" + 0.000*""virtualteaching"" + 0.000*""amaze"" + 0.000*""need"" + 0.000*""interactive"""
1,1,"0.356*""googleedu"" + 0.128*""chrome"" + 0.126*""slide"" + 0.089*""seesaw"" + 0.056*""application"" + 0.041*""interactive"" + 0.033*""choose"" + 0.030*""extension"" + 0.025*""virtuallearning"" + 0.024*""work"" + 0.024*""research"" + 0.018*""kiddos"" + 0.014*""homeschooling"" + 0.013*""microsoftteams"" + 0.006*""scienceteacher"" + 0.004*""schoolclosures"" + 0.001*""teachersrock"" + 0.001*""audible"" + 0.001*""weareib"" + 0.001*""virtualteaching"" + 0.001*""togetherinheart"" + 0.000*""spacescience"" + 0.000*""digitalteacher"" + 0.000*""natgeo"" + 0.000*""keepgrowing"" + 0.000*""peers@shmslouisville"" + 0.000*""constellation"" + 0.000*""planetarium"" + 0.000*""vintage"" + 0.000*""tide"" + 0.000*""homeeducation"" + 0.000*""freeze"" + 0.000*""teach"" + 0.000*""bring"" + 0.000*""onlinetutoring"" + 0.000*""bramble"" + 0.000*""onlinetutor"" + 0.000*""feedback"" + 0.000*""digitallearning"" + 0.000*""feature"" + 0.000*""anyone"" + 0.000*""leadingincrisis"" + 0.000*""keepaskingquestions"" + 0.000*""classifiedemployeeunsungheroes"" + 0.000*""edchat"" + 0.000*""face"" + 0.000*""share"" + 0.000*""end"" + 0.000*""googleclassroom"" + 0.000*""learn"""
2,2,"0.278*""google"" + 0.243*""classroom"" + 0.212*""teacher"" + 0.053*""student"" + 0.026*""class"" + 0.024*""learning"" + 0.023*""using"" + 0.018*""track"" + 0.017*""online"" + 0.011*""crazy"" + 0.010*""virtual"" + 0.008*""start"" + 0.008*""share"" + 0.007*""learn"" + 0.006*""working"" + 0.006*""teach"" + 0.005*""think"" + 0.005*""still"" + 0.004*""digital"" + 0.004*""something"" + 0.003*""miss"" + 0.003*""need"" + 0.002*""youtube"" + 0.002*""anyone"" + 0.002*""people"" + 0.002*""feature"" + 0.002*""feedback"" + 0.002*""amaze"" + 0.002*""seeing"" + 0.002*""giving"" + 0.002*""bring"" + 0.001*""subject"" + 0.001*""session"" + 0.001*""lockdown"" + 0.001*""awesome"" + 0.001*""grader"" + 0.001*""heart"" + 0.000*""aware"" + 0.000*""smile"" + 0.000*""sweet"" + 0.000*""face"" + 0.000*""doubt"" + 0.000*""transfer"" + 0.000*""solving"" + 0.000*""changer"" + 0.000*""learnonline"" + 0.000*""freeze"" + 0.000*""host"" + 0.000*""chrome"" + 0.000*""end"""
