,0,1
0,0,"0.383*""school"" + 0.126*""blackboard"" + 0.102*""question"" + 0.096*""teacher"" + 0.063*""since"" + 0.053*""contact"" + 0.044*""phone"" + 0.035*""entire"" + 0.034*""record"" + 0.015*""check"" + 0.010*""older"" + 0.009*""mobile"" + 0.008*""upgrade"" + 0.006*""campus"" + 0.005*""stream"" + 0.002*""district"" + 0.001*""every"" + 0.001*""new"" + 0.000*""inside"" + 0.000*""whole"" + 0.000*""experience"" + 0.000*""starting"" + 0.000*""release"" + 0.000*""camera"" + 0.000*""guidance"" + 0.000*""education"" + 0.000*""student"" + 0.000*""website"" + 0.000*""learn"" + 0.000*""really"" + 0.000*""staff"" + 0.000*""course"" + 0.000*""remember"" + 0.000*""community"" + 0.000*""week"" + 0.000*""online"" + 0.000*""cancel"" + 0.000*""right"" + 0.000*""specific"" + 0.000*""topic"" + 0.000*""ask"" + 0.000*""today"" + 0.000*""delete"" + 0.000*""replace"" + 0.000*""thank"" + 0.000*""using"" + 0.000*""recording"" + 0.000*""learning"" + 0.000*""try"" + 0.000*""college"""
1,1,"0.247*""blackboard"" + 0.170*""college"" + 0.118*""canvas"" + 0.102*""university"" + 0.063*""student"" + 0.053*""online"" + 0.049*""essay"" + 0.021*""course"" + 0.021*""using"" + 0.016*""platform"" + 0.015*""education"" + 0.014*""learning"" + 0.013*""collaborate"" + 0.011*""campus"" + 0.009*""learn"" + 0.009*""teaching"" + 0.009*""community"" + 0.008*""experience"" + 0.007*""website"" + 0.006*""covid-19"" + 0.006*""thank"" + 0.006*""remote"" + 0.005*""staff"" + 0.004*""starting"" + 0.003*""tutor"" + 0.003*""delivery"" + 0.002*""replace"" + 0.002*""specific"" + 0.002*""advise"" + 0.001*""guidance"" + 0.001*""release"" + 0.001*""frequently"" + 0.001*""visit"" + 0.001*""microsoftteams"" + 0.001*""third"" + 0.000*""cancel"" + 0.000*""every"" + 0.000*""leicester"" + 0.000*""arrangement"" + 0.000*""advisory"" + 0.000*""inside"" + 0.000*""ensure"" + 0.000*""check"" + 0.000*""production"" + 0.000*""recording"" + 0.000*""measure"" + 0.000*""ultra"" + 0.000*""higher"" + 0.000*""really"" + 0.000*""panopto"""
2,2,"0.234*""video"" + 0.135*""learning"" + 0.116*""remember"" + 0.089*""digital"" + 0.064*""ask"" + 0.064*""team"" + 0.063*""higher"" + 0.063*""right"" + 0.039*""receive"" + 0.021*""topic"" + 0.018*""webinars"" + 0.016*""week"" + 0.015*""panopto"" + 0.013*""reminder"" + 0.011*""blackboard"" + 0.010*""excellent"" + 0.009*""platform"" + 0.007*""district"" + 0.003*""remote"" + 0.001*""production"" + 0.000*""vevox"" + 0.000*""check"" + 0.000*""covid19"" + 0.000*""ulsteruniversity"" + 0.000*""q&amp;as"" + 0.000*""inside"" + 0.000*""education"" + 0.000*""staff"" + 0.000*""experience"" + 0.000*""recording"" + 0.000*""camera"" + 0.000*""contact"" + 0.000*""microsoftteams"" + 0.000*""learn"" + 0.000*""student"" + 0.000*""whole"" + 0.000*""third"" + 0.000*""calling"" + 0.000*""collaborate"" + 0.000*""specific"" + 0.000*""ensure"" + 0.000*""visit"" + 0.000*""using"" + 0.000*""today"" + 0.000*""starting"" + 0.000*""tutor"" + 0.000*""online"" + 0.000*""thank"" + 0.000*""teacher"" + 0.000*""upgrade"""
3,3,"0.442*""blackboard"" + 0.316*""professor"" + 0.069*""online"" + 0.026*""really"" + 0.023*""every"" + 0.015*""try"" + 0.014*""check"" + 0.012*""today"" + 0.012*""whole"" + 0.010*""collaborate"" + 0.010*""course"" + 0.009*""using"" + 0.009*""final"" + 0.008*""right"" + 0.005*""week"" + 0.004*""visit"" + 0.004*""learn"" + 0.003*""delete"" + 0.003*""camera"" + 0.002*""experience"" + 0.002*""thank"" + 0.001*""starting"" + 0.001*""lose"" + 0.000*""corrections"" + 0.000*""session"" + 0.000*""cancel"" + 0.000*""staff"" + 0.000*""student"" + 0.000*""specific"" + 0.000*""calling"" + 0.000*""webinars"" + 0.000*""education"" + 0.000*""teaching"" + 0.000*""recording"" + 0.000*""guidance"" + 0.000*""campus"" + 0.000*""entire"" + 0.000*""website"" + 0.000*""receive"" + 0.000*""contact"" + 0.000*""remote"" + 0.000*""ask"" + 0.000*""tutor"" + 0.000*""inside"" + 0.000*""phone"" + 0.000*""canvas"" + 0.000*""ensure"" + 0.000*""since"" + 0.000*""essay"" + 0.000*""third"""
4,4,"0.228*""technology"" + 0.219*""provide"" + 0.141*""ready"" + 0.120*""crash"" + 0.094*""take"" + 0.044*""student"" + 0.028*""distancelearning"" + 0.025*""measure"" + 0.020*""digital"" + 0.012*""socialdistancing"" + 0.010*""today"" + 0.005*""dubai"" + 0.005*""microsoftteams"" + 0.004*""myadu"" + 0.004*""abudhabi"" + 0.004*""abudhabiuniversity"" + 0.000*""starting"" + 0.000*""excellent"" + 0.000*""release"" + 0.000*""education"" + 0.000*""experience"" + 0.000*""online"" + 0.000*""using"" + 0.000*""staff"" + 0.000*""stream"" + 0.000*""blackboard"" + 0.000*""learning"" + 0.000*""remote"" + 0.000*""teaching"" + 0.000*""check"" + 0.000*""course"" + 0.000*""recording"" + 0.000*""tutor"" + 0.000*""panopto"" + 0.000*""covid-19"" + 0.000*""every"" + 0.000*""ensure"" + 0.000*""learn"" + 0.000*""website"" + 0.000*""guidance"" + 0.000*""university"" + 0.000*""higher"" + 0.000*""inside"" + 0.000*""cancel"" + 0.000*""platform"" + 0.000*""collaborate"" + 0.000*""teacher"" + 0.000*""college"" + 0.000*""right"" + 0.000*""upgrade"""
5,5,"0.354*""blackboard"" + 0.340*""teacher"" + 0.067*""student"" + 0.041*""teaching"" + 0.035*""covid19"" + 0.033*""today"" + 0.027*""collaborate"" + 0.019*""check"" + 0.019*""ultra"" + 0.013*""using"" + 0.010*""learn"" + 0.010*""cancel"" + 0.008*""session"" + 0.006*""education"" + 0.004*""experience"" + 0.003*""recording"" + 0.003*""staff"" + 0.002*""calling"" + 0.002*""ensure"" + 0.002*""inside"" + 0.001*""third"" + 0.000*""every"" + 0.000*""ulsteruniversity"" + 0.000*""q&amp;as"" + 0.000*""online"" + 0.000*""thank"" + 0.000*""starting"" + 0.000*""replace"" + 0.000*""new"" + 0.000*""right"" + 0.000*""guidance"" + 0.000*""really"" + 0.000*""visit"" + 0.000*""whole"" + 0.000*""remember"" + 0.000*""camera"" + 0.000*""frequently"" + 0.000*""course"" + 0.000*""remote"" + 0.000*""final"" + 0.000*""topic"" + 0.000*""try"" + 0.000*""delivery"" + 0.000*""platform"" + 0.000*""ask"" + 0.000*""webinars"" + 0.000*""learning"" + 0.000*""stream"" + 0.000*""university"" + 0.000*""district"""
