,0,1
0,0,"0.408*""learning"" + 0.205*""learn"" + 0.144*""digital"" + 0.076*""feature"" + 0.059*""interest"" + 0.031*""science"" + 0.024*""super"" + 0.011*""reporting"" + 0.006*""effects"" + 0.004*""discovery"" + 0.004*""universe"" + 0.004*""⁦@shmslouisville⁩"" + 0.003*""teacherstrong"" + 0.003*""special"" + 0.002*""spaceprobes"" + 0.002*""probe"" + 0.002*""broadcast"" + 0.002*""seesaw"" + 0.001*""astronomy"" + 0.001*""costume"" + 0.001*""talented"" + 0.000*""digitallearning"" + 0.000*""natgeo"" + 0.000*""teacher"" + 0.000*""scienceteacher"" + 0.000*""change"" + 0.000*""togetherinheart"" + 0.000*""server"" + 0.000*""check"" + 0.000*""space"" + 0.000*""video"" + 0.000*""edurekasocialuniversity"" + 0.000*""xampp"" + 0.000*""wednesdaywisdom"" + 0.000*""webdev"" + 0.000*""microsoftteams"" + 0.000*""microsoftedu"" + 0.000*""microsoft"" + 0.000*""something"" + 0.000*""team"" + 0.000*""windows"" + 0.000*""using"" + 0.000*""install"" + 0.000*""class"" + 0.000*""create"" + 0.000*""course"" + 0.000*""upload"" + 0.000*""spacescience"" + 0.000*""tutorial"" + 0.000*""sending"""
1,1,"0.365*""microsoft"" + 0.304*""team"" + 0.172*""teacher"" + 0.046*""using"" + 0.038*""class"" + 0.022*""video"" + 0.020*""check"" + 0.017*""course"" + 0.006*""change"" + 0.005*""something"" + 0.003*""upload"" + 0.001*""install"" + 0.001*""special"" + 0.000*""server"" + 0.000*""block"" + 0.000*""poetry"" + 0.000*""create"" + 0.000*""windows"" + 0.000*""effects"" + 0.000*""super"" + 0.000*""microsoftteams"" + 0.000*""edutwitter"" + 0.000*""youtube"" + 0.000*""feature"" + 0.000*""interest"" + 0.000*""tutorial"" + 0.000*""science"" + 0.000*""learning"" + 0.000*""learn"" + 0.000*""sending"" + 0.000*""microsoftedu"" + 0.000*""reporting"" + 0.000*""broadcast"" + 0.000*""seesaw"" + 0.000*""digital"" + 0.000*""fabulous"" + 0.000*""space"" + 0.000*""digitallearning"" + 0.000*""talented"" + 0.000*""discovery"" + 0.000*""costume"" + 0.000*""weary"" + 0.000*""steam"" + 0.000*""xampp"" + 0.000*""edurekasocialuniversity"" + 0.000*""wednesdaywisdom"" + 0.000*""webdev"" + 0.000*""⁦@shmslouisville⁩"" + 0.000*""teacherstrong"" + 0.000*""universe"""
2,2,"0.578*""microsoftteams"" + 0.144*""microsoftedu"" + 0.130*""create"" + 0.022*""youtube"" + 0.017*""space"" + 0.016*""tutorial"" + 0.016*""digitallearning"" + 0.011*""edutwitter"" + 0.009*""block"" + 0.007*""seesaw"" + 0.007*""togetherinheart"" + 0.006*""scienceteacher"" + 0.005*""natgeo"" + 0.005*""sending"" + 0.005*""server"" + 0.004*""spacescience"" + 0.003*""poetry"" + 0.003*""windows"" + 0.002*""astronomy"" + 0.001*""fabulous"" + 0.001*""video"" + 0.001*""weary"" + 0.001*""steam"" + 0.000*""xampp"" + 0.000*""wednesdaywisdom"" + 0.000*""webdev"" + 0.000*""edurekasocialuniversity"" + 0.000*""check"" + 0.000*""reporting"" + 0.000*""⁦@shmslouisville⁩"" + 0.000*""change"" + 0.000*""effects"" + 0.000*""teacher"" + 0.000*""special"" + 0.000*""probe"" + 0.000*""spaceprobes"" + 0.000*""digital"" + 0.000*""using"" + 0.000*""feature"" + 0.000*""something"" + 0.000*""discovery"" + 0.000*""learn"" + 0.000*""class"" + 0.000*""teacherstrong"" + 0.000*""super"" + 0.000*""interest"" + 0.000*""microsoft"" + 0.000*""install"" + 0.000*""upload"" + 0.000*""universe"""
