,0,1
0,0,"0.486*""teacher"" + 0.146*""student"" + 0.075*""school"" + 0.069*""learning"" + 0.030*""teaching"" + 0.029*""education"" + 0.021*""course"" + 0.020*""event"" + 0.017*""register"" + 0.014*""resource"" + 0.012*""webinar"" + 0.011*""program"" + 0.011*""return"" + 0.007*""educator"" + 0.007*""learn"" + 0.006*""idea"" + 0.006*""build"" + 0.006*""strategy"" + 0.005*""enrol"" + 0.004*""deliver"" + 0.004*""president"" + 0.004*""primary"" + 0.003*""development"" + 0.002*""afternoon"" + 0.002*""meaningful"" + 0.001*""willing"" + 0.001*""ending"" + 0.001*""evaluation"" + 0.001*""certify"" + 0.000*""󠁧󠁢󠁷󠁬󠁳󠁿"" + 0.000*""homeschooling"" + 0.000*""qualification"" + 0.000*""teacherleaders"" + 0.000*""9717773450"" + 0.000*""micro"" + 0.000*""cricket"" + 0.000*""readiness"" + 0.000*""comet"" + 0.000*""apprenticeship"" + 0.000*""grade"" + 0.000*""monday"" + 0.000*""today"" + 0.000*""connect"" + 0.000*""digital"" + 0.000*""edcymruconnect"" + 0.000*""assessor"" + 0.000*""together"" + 0.000*""helping"" + 0.000*""edtech"" + 0.000*""everyone"""
1,1,"0.312*""share"" + 0.151*""edtech"" + 0.095*""platform"" + 0.081*""offer"" + 0.076*""years"" + 0.073*""point"" + 0.068*""skill"" + 0.060*""design"" + 0.037*""enough"" + 0.024*""develop"" + 0.008*""earn"" + 0.003*""helen"" + 0.000*""learnfromhome"" + 0.000*""edwebinar"" + 0.000*""digitallearning"" + 0.000*""9717773450"" + 0.000*""assessor"" + 0.000*""edcymruconnect"" + 0.000*""idea"" + 0.000*""manage"" + 0.000*""readiness"" + 0.000*""meaningful"" + 0.000*""cricket"" + 0.000*""build"" + 0.000*""ticklinks"" + 0.000*""enrol"" + 0.000*""georgia"" + 0.000*""teacher"" + 0.000*""education"" + 0.000*""connect"" + 0.000*""webinar"" + 0.000*""teaching"" + 0.000*""former"" + 0.000*""digital"" + 0.000*""󠁧󠁢󠁷󠁬󠁳󠁿"" + 0.000*""micro"" + 0.000*""highlight"" + 0.000*""technology"" + 0.000*""orange"" + 0.000*""student"" + 0.000*""interactive"" + 0.000*""resource"" + 0.000*""register"" + 0.000*""learn"" + 0.000*""create"" + 0.000*""chance"" + 0.000*""study"" + 0.000*""course"" + 0.000*""program"" + 0.000*""comet"""
2,2,"0.170*""covid"" + 0.169*""online"" + 0.098*""today"" + 0.089*""great"" + 0.056*""learn"" + 0.041*""grade"" + 0.037*""first"" + 0.036*""start"" + 0.035*""digital"" + 0.030*""everyone"" + 0.025*""opportunity"" + 0.025*""looking"" + 0.021*""monday"" + 0.021*""friday"" + 0.019*""together"" + 0.018*""helping"" + 0.016*""study"" + 0.016*""visit"" + 0.014*""connect"" + 0.009*""chance"" + 0.008*""increase"" + 0.007*""party"" + 0.007*""effort"" + 0.007*""currently"" + 0.006*""manage"" + 0.005*""beyond"" + 0.005*""strong"" + 0.002*""apprenticeship"" + 0.001*""former"" + 0.001*""marks"" + 0.001*""teacherappreciationweek"" + 0.000*""toolkit"" + 0.000*""takeaway"" + 0.000*""cricket"" + 0.000*""giveaway"" + 0.000*""credential"" + 0.000*""comet"" + 0.000*""enrol"" + 0.000*""webinar"" + 0.000*""micro"" + 0.000*""󠁧󠁢󠁷󠁬󠁳󠁿"" + 0.000*""teacherleaders"" + 0.000*""president"" + 0.000*""assessor"" + 0.000*""edcymruconnect"" + 0.000*""teacher"" + 0.000*""build"" + 0.000*""contest"" + 0.000*""9717773450"" + 0.000*""ticklinks"""
3,3,"0.337*""university"" + 0.166*""create"" + 0.121*""technology"" + 0.038*""content"" + 0.033*""interactive"" + 0.033*""faculty"" + 0.022*""quality"" + 0.021*""partner"" + 0.018*""boost"" + 0.018*""panel"" + 0.017*""enter"" + 0.016*""union"" + 0.016*""highlight"" + 0.016*""dance"" + 0.013*""appreciation"" + 0.011*""director"" + 0.011*""digitallearning"" + 0.009*""bringing"" + 0.007*""donate"" + 0.007*""staysafe"" + 0.007*""ideal"" + 0.006*""stayhome"" + 0.006*""generation"" + 0.006*""lincoln"" + 0.005*""readiness"" + 0.005*""arrive"" + 0.005*""educate"" + 0.004*""contest"" + 0.003*""trial"" + 0.003*""upskill"" + 0.002*""simultaneous"" + 0.002*""jordan"" + 0.002*""orange"" + 0.002*""georgia"" + 0.001*""firstgrade"" + 0.001*""nottingham"" + 0.001*""development"" + 0.001*""pandemicteacherdiaries"" + 0.001*""confessionsofafirstgradeteacher"" + 0.000*""micro"" + 0.000*""ericsson"" + 0.000*""boostlearning"" + 0.000*""telecom"" + 0.000*""apprenticeship"" + 0.000*""talisinsight"" + 0.000*""cecilia"" + 0.000*""nichols"" + 0.000*""petts"" + 0.000*""goria"" + 0.000*""giveaway"""
