,response,distributions,probable_topic,topic_probability
21,"['teacher', 'across', 'getting', 'lesson', 'zoombombing’|', 'classroom', 'management', 'digital', 'learning', 'moment-', 'handling', 'zoombombers', 'teachered', 'program']","[(0, 0.021584045), (1, 0.029511757), (2, 0.015646495), (3, 0.025057275), (4, 0.01568267), (5, 0.84995013), (6, 0.042567626)]",,
22,"['TWITTER_HANDLE', 'please', 'provide', 'better', 'online', 'resource', 'google', 'classroom/', 'zoom/', 'hangout', 'provide', 'structural', 'teacher', 'sessions', 'couple', 'hours', 'current', 'online', 'helpful', 'ontario', 'digitallearning']","[(2, 0.9646657)]",,
23,"['guess', 'excite', 'morning', 'teacher', 'TWITTER_HANDLE', 'classmate', 'first', 'week', 'zoommeeting', 'digitallearning', 'weareallinthistogether', 'TWITTER_HANDLE']","[(1, 0.011183713), (4, 0.93950695), (6, 0.01628454)]",,
24,"['smile', 'around', 'zamorano', 'teacher', 'zoom’ed', 'seeing', 'catching', 'discuss', 'digital', 'learning', 'chat', 'student', 'bettersd', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE']","[(0, 0.013326005), (1, 0.018215522), (3, 0.17645049), (5, 0.39842212), (6, 0.37424287)]",,
25,"['global', 'trend', 'digital', 'people', 'means', 'zoomuniversity', 'connection', 'digitallearning', 'digitallecture.#workfromhome']","[(0, 0.010625109), (1, 0.928938), (3, 0.0123317465), (5, 0.012447349), (6, 0.020245692)]",,
26,"['professor', 'classum', 'zoomy', 'turnitover', 'panoptico', 'vidata', 'whiteboard', 'integration', 'remote', 'delivery', 'management', 'learning', 'module', 'engage', 'course', 'customer', 'research', 'partner', 'trial']","[(0, 0.036773734), (1, 0.050193623), (2, 0.026659999), (3, 0.042654708), (4, 0.026721671), (5, 0.74674505), (6, 0.07025118)]",,
27,"['online', 'school', 'excuse', 'lock', 'around', 'house', 'zoomuniversity']","[(0, 0.34979317), (1, 0.4403882), (2, 0.026660215), (3, 0.042696007), (4, 0.026721675), (5, 0.043044448), (6, 0.07069629)]",,
28,"['bombing', 'nuisance', 'security', 'concern', 'hacker', 'enter', 'online', 'classroom', 'expose', 'child', 'teacher', 'racist', 'language', 'pornographic', 'image', 'covid__19', 'cybersecurity', 'zoombombing']","[(0, 0.027202925), (1, 0.4111239), (2, 0.019719813), (3, 0.031599067), (4, 0.019765306), (5, 0.03187183), (6, 0.45871717)]",,
29,"['teacher', 'become', 'zoomers', 'online', 'tool', 'engage', 'student', 'little', 'people', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'looking', 'build', 'toolkit', 'teacher', 'education']","[(0, 0.0133260805), (1, 0.018296953), (3, 0.5772203), (5, 0.015612032), (6, 0.35620156)]",,
30,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'teacher', 'planning', 'teaching', 'zoom', 'online', 'supervising', 'phone', 'parent', 'phone', 'counting', 'hotel', 'washing', 'hands', 'sanitise', 'hands', 'solving', 'jigsaw', 'include']","[(0, 0.011818529), (1, 0.016188914), (3, 0.013718172), (5, 0.013841518), (6, 0.9272776)]",,
31,"['change', 'nursing', 'class', 'never', 'mean', 'teach', 'online', 'spm230', 'nursingstudent', 'stressismymiddlename', 'zoomuniversity']","[(0, 0.26165894), (1, 0.037358783), (2, 0.019719828), (3, 0.5773724), (4, 0.01976529), (5, 0.0318388), (6, 0.052286)]",,
32,"['actually', 'teacher', 'scolding', 'email', 'start', 'student', 'class', 'online', 'sleep', 'zoom', 'alarm', 'stay', 'great']","[(0, 0.017888866), (1, 0.024527915), (2, 0.012967974), (3, 0.8758372), (4, 0.012997889), (5, 0.020950368), (6, 0.034829747)]",,
33,"['higher', 'education', 'dealing', 'zoomfatigue', 'student', 'create', 'video', 'instructor', 'cultivate', 'connection', 'online', 'class']","[(0, 0.027200583), (1, 0.037315913), (2, 0.019719774), (3, 0.81203294), (4, 0.01976529), (5, 0.031838775), (6, 0.052126758)]",,
34,"['solidarity', 'young', 'college', 'friend', 'never', 'sign', 'online', 'class', 'finalsweek', 'zoomuniversity']","[(0, 0.2614721), (1, 0.03735864), (2, 0.019719828), (3, 0.5775597), (4, 0.01976529), (5, 0.0318388), (6, 0.0522856)]",,
35,"['guest', 'zoom', 'friend', 'class', 'hours', 'night', 'express', 'teacher', 'making', 'connection', 'student', 'online', 'student', 'learning']","[(0, 0.011818501), (1, 0.016172787), (3, 0.9182239), (5, 0.013884932), (6, 0.022744551)]",,
36,"['online', 'school', 'excuse', 'lock', 'around', 'house', 'zoomuniversity']","[(0, 0.3495779), (1, 0.4406055), (2, 0.026660211), (3, 0.04269593), (4, 0.026721675), (5, 0.043044448), (6, 0.07069438)]",,
37,"['bombing', 'nuisance', 'security', 'concern', 'hacker', 'enter', 'online', 'classroom', 'expose', 'child', 'teacher', 'racist', 'language', 'pornographic', 'image', 'covid__19', 'cybersecurity', 'zoombombing']","[(0, 0.027202927), (1, 0.41029856), (2, 0.019719815), (3, 0.03159504), (4, 0.019765306), (5, 0.031871807), (6, 0.45954654)]",,
38,"['teacher', 'become', 'zoomers', 'online', 'tool', 'engage', 'student', 'little', 'people', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'looking', 'build', 'toolkit', 'teacher', 'education']","[(0, 0.0133260805), (1, 0.018296946), (3, 0.5772811), (5, 0.015612033), (6, 0.35614073)]",,
39,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'teacher', 'planning', 'teaching', 'zoom', 'online', 'supervising', 'phone', 'parent', 'phone', 'counting', 'hotel', 'washing', 'hands', 'sanitise', 'hands', 'solving', 'jigsaw', 'include']","[(0, 0.011818531), (1, 0.016192842), (3, 0.013718138), (5, 0.013841522), (6, 0.92727375)]",,
40,"['zoomでの授業報告。これ聞きたいなぁ。一斉授業の中で個別指導する場合何か方法はあるんだろうか', 'scholarship', 'research', 'creative', 'college', 'blend', 'learning', 'liberal', 'conference', 'teaching', 'share', 'hybrid', 'online', 'course', 'using']","[(0, 0.027200628), (1, 0.29670373), (2, 0.019719854), (3, 0.031581257), (4, 0.01976529), (5, 0.5524958), (6, 0.05253345)]",,
41,"['energizing', 'start', 'TWITTER_HANDLE', 'teacher', 'leaders', 'designing', 'distancelearning', 'sample', 'learning', 'experience', 'edfarm', 'edfarmbhm', 'blendedlearning', 'teachingin2020', 'zoomin']","[(0, 0.021583067), (1, 0.029506696), (2, 0.015646523), (3, 0.025047023), (4, 0.015682733), (5, 0.8490548), (6, 0.043479152)]",,
42,"['learning', 'today', 'learning', 'plot', 'given', 'teacher', 'love', 'classroom', 'blendedlearning', 'zoommeeting']","[(0, 0.015276354), (1, 0.19719683), (2, 0.011072373), (3, 0.01772827), (4, 0.011098097), (5, 0.7177574), (6, 0.029870663)]",,
43,"['zoom', 'teaching', 'always', 'great', 'advice', 'synchronous', 'tool', 'small', 'group', 'student', 'collaboration', 'student', 'student', 'interaction', 'rather', 'teacher', 'center', 'lecture', 'TWITTER_HANDLE']","[(0, 0.013325801), (1, 0.018217789), (3, 0.9066212), (5, 0.015609143), (6, 0.026883006)]",,
44,"['first', 'zoomuniversity', 'professor', 'mostly', 'convert', 'class', 'synchronous', 'asynchronous', 'activity', 'record', 'upload', 'lecture', 'panopto', 'student', 'discussion', 'questions/', 'point', 'discus']","[(0, 0.26321307), (1, 0.03715426), (2, 0.019719671), (3, 0.31701416), (4, 0.27923074), (5, 0.031838752), (6, 0.051829327)]",,
45,"['zoomcall', 'fellow', 'school', 'leaders', 'paneldiscussion', 'webinar', 'TWITTER_HANDLE', 'remotelearning', 'synchronous', 'learning', 'asynchronous', 'learning', 'deliberate', 'protocol', 'online', 'assessment', 'training', 'TWITTER_HANDLE', 'panelist', 'share', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'journey', 'TWITTER_HANDLE']","[(0, 0.010617075), (1, 0.0145886475), (3, 0.012323944), (5, 0.2355904), (6, 0.7114679)]",,
46,"['TWITTER_HANDLE', 'TWITTER_HANDLE', 'TWITTER_HANDLE', 'reasonable', 'approach', 'worry', 'zoom', 'expect', 'synchronous', 'would', 'prefer']","[(0, 0.021582706), (1, 0.029457578), (2, 0.015646512), (3, 0.02504224), (4, 0.015682697), (5, 0.025270835), (6, 0.86731744)]",,
47,"['throw', 'please', 'clothing', 'require', 'policy', 'syllabus', 'synchronous', 'class', 'professorlife', 'zoomlife']","[(0, 0.056745168), (1, 0.07745188), (2, 0.58422226), (3, 0.065822124), (4, 0.041233934), (5, 0.066421285), (6, 0.10810331)]",,
48,"['writing', 'professor', 'still', 'synchronous', 'zoom', 'create', 'discussion', 'boards', 'hannah']","[(0, 0.056752935), (1, 0.07745193), (2, 0.04113914), (3, 0.06590152), (4, 0.04123395), (5, 0.06646016), (6, 0.6510604)]",,
