,txblb_polarity_2020,txblb_polarity_2021,txblb_subjectivity_2020,txblb_subjectivity_2021
count,83801.0,71547.0,83801.0,71547.0
mean,0.12460233079709829,0.09727619647536363,0.3561133069668374,0.33578150882164215
std,0.2598882034494006,0.2356275559817211,0.296716541373356,0.2899819426466911
min,-1.0,-1.0,0.0,0.0
25%,0.0,0.0,0.0,0.0
50%,0.024999999999999994,0.0,0.375,0.35
75%,0.2638888888888889,0.21212121212121213,0.5666666666666667,0.5333333333333333
max,1.0,1.0,1.0,1.0
